iter	Passed	Remaining
0	1	136
1	2	127
2	3	125
3	5	122
4	6	120
5	7	117
6	8	115
7	9	113
8	11	112
9	12	110
10	13	108
11	14	107
12	15	105
13	16	104
14	18	102
15	19	102
16	20	100
17	21	99
18	23	98
19	24	96
20	25	95
21	26	94
22	27	93
23	28	91
24	30	90
25	31	88
26	32	87
27	33	86
28	34	84
29	35	83
30	36	81
31	37	80
32	38	79
33	40	77
34	41	76
35	42	75
36	43	73
37	44	72
38	45	71
39	46	70
40	47	68
41	48	66
42	49	65
43	50	64
44	51	62
45	52	61
46	53	60
47	54	59
48	55	58
49	56	56
50	57	55
51	59	54
52	60	53
53	61	52
54	61	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
